;genres;artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count
0;['show tunes'];"""Cats"" 1981 Original London Cast";0.5901111111111111;0.4672222222222222;250318.5555555556;0.3940033333333333;0.0113998511111111;0.2908333333333333;-14.448;0.2103888888888888;117.51811111111112;0.3895;38.333333333333336;5;1;9
8;['comedy rock', 'comic', 'parody'];"""Weird Al"" Yankovic";0.1731450819672131;0.6627868852459013;218948.19672131148;0.6953934426229511;4.980262295081966e-05;0.1611016393442622;-9.768704918032787;0.0845360655737704;133.03118032786878;0.7513442622950824;34.22950819672131;9;1;122
9;['emo rap', 'florida rap', 'sad rap', 'underground hip hop', 'vapor trap'];$NOT;0.5444666666666668;0.7898;137910.46666666667;0.5329333333333333;0.0230625833333333;0.1803;-9.14926666666667;0.2936866666666666;112.34479999999998;0.4807;67.53333333333333;1;1;15
10;['dark trap', 'meme rap'];$atori Zoom;0.239;0.883;141519.0;0.625;0.0;0.0765;-4.098;0.245;126.677;0.871;67.0;6;1;2
12;['asian american hip hop', 'cali rap', 'west coast trap'];$tupid Young;0.1481;0.8540000000000001;190572.0;0.6829999999999999;2.075e-06;0.1885;-6.997000000000001;0.221;100.7245;0.6255000000000001;57.5;1;1;2
13;['dark trap', 'new orleans rap', 'underground hip hop'];$uicideBoy$;0.14148488;0.749344;146386.392;0.635552;0.0456750955199999;0.2022527999999999;-6.631303999999997;0.156108;115.02202400000009;0.2872856;61.8;1;1;125
14;['broadway', 'show tunes'];'In The Heights' Original Broadway Company;0.6247692307692306;0.5636153846153845;314023.6153846154;0.4576923076923078;8.692307692307694e-06;0.2043846153846154;-8.338461538461537;0.1524538461538461;117.00684615384613;0.4675384615384614;47.69230769230769;7;1;13
15;['broadway', 'hollywood', 'show tunes'];'Legally Blonde' Ensemble;0.5538888888888889;0.6484444444444446;304211.88888888893;0.4411111111111111;2.544444444444445e-05;0.2146666666666666;-11.45977777777778;0.4951111111111112;114.80844444444443;0.5247777777777778;48.66666666666666;2;1;9
16;['show tunes'];'Legally Blonde' Greek Chorus;0.6044999999999999;0.7735000000000001;361780.0;0.3095;0.0;0.2222;-12.669;0.289;105.7;0.5965;48.0;10;1;2
17;['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop'];'Til Tuesday;0.10555625;0.557125;255213.5;0.61225;0.0233002525;0.1275875;-9.638125;0.03215;103.08025000000002;0.532625;34.625;0;1;16
18;['experimental hip hop', 'indie r&b', 'indie soul'];((( O )));0.847;0.41;311837.0;0.1689999999999999;0.00327;0.117;-11.422;0.0485;89.494;0.208;67.0;3;1;2
20;['k-pop', 'k-pop girl group'];(G)I-DLE;0.011235;0.6405;196969.0;0.8;0.0;0.252;-4.4735;0.04875;151.01325;0.3750000000000001;79.25;1;0;4
21;['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock'];(Hed) P.E.;0.0116313999999999;0.5891999999999998;253677.4;0.8792;2.026e-06;0.17112;-5.2598;0.17214;134.9694;0.4270000000000001;45.8;2;1;10
22;['boy band', 'dance pop', 'europop', 'pop'];*NSYNC;0.1916107428571427;0.6087428571428571;236775.1523809524;0.6944285714285712;0.0027032102857142;0.2028599999999999;-6.273800000000001;0.0571380952380952;115.61588571428572;0.5647809523809525;45.371428571428574;0;1;105
24;['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore'];...And You Will Know Us by the Trail of Dead;0.0084099999999999;0.255;273624.0;0.858;0.000355;0.513;-5.085;0.0694;144.653;0.237;36.0;7;1;2
26;['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap'];03 Greedo;0.1226857142857143;0.6884285714285714;220377.7142857143;0.5868571428571429;5.714285714285714e-07;0.1481857142857143;-7.505285714285715;0.0587142857142857;87.36128571428574;0.3728571428571428;59.28571428571429;1;0;7
27;['alternative r&b', 'new jersey rap'];070 Shake;0.0114;0.696;398106.0;0.667;0.0;0.181;-7.665;0.0407;121.932;0.287;63.0;0;0;1
28;['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae'];10 Ft. Ganja Plant;0.0217;0.789;236253.0;0.7929999999999999;0.826;0.112;-6.629;0.107;149.368;0.743;50.0;4;0;2
29;['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock'];10 Years;0.1108588428571428;0.4084285714285714;209857.0;0.7488571428571428;0.0002331785714285;0.1529857142857143;-5.050857142857142;0.0448857142857142;150.52271428571433;0.3287142857142857;48.71428571428572;6;1;14
30;['alternative rock', 'dance rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock'];10,000 Maniacs;0.1908328571428572;0.5844761904761905;236012.61904761905;0.5420761904761905;0.0087604042857142;0.2297047619047619;-13.288047619047616;0.0378523809523809;118.4760952380952;0.5738095238095238;37.0;9;1;42
31;['glitchcore', 'hyperpop'];100 gecs;0.1584499999999999;0.61925;126605.25;0.59575;0.0;0.37175;-6.588000000000001;0.2125;114.87475;0.78125;68.0;6;1;4
32;['adult standards', 'ballroom', 'easy listening', 'lounge'];101 Strings Orchestra;0.588875;0.292525;173106.375;0.397;0.7145375;0.195375;-13.496375;0.037975;100.62312500000002;0.391525;27.0;0;1;16
33;['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock'];10cc;0.2308210526315789;0.5606315789473686;298796.5789473684;0.567315789473684;0.0074713842105263;0.1520947368421052;-10.354052631578954;0.0661105263157894;121.8002631578947;0.555;41.578947368421055;7;1;38
34;['g funk', 'hyphy', 'west coast trap'];11/5;0.27;0.929;182373.0;0.6609999999999999;1.52e-06;0.0879;-6.794;0.171;114.973;0.708;37.0;1;0;2
35;['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary'];112;0.1386179166666667;0.6774166666666667;270513.91666666674;0.5333958333333334;0.0001645316666666;0.13380625;-7.616583333333331;0.1065708333333333;114.64527083333336;0.5511666666666667;50.16666666666666;1;1;48
36;['classical piano duo'];12 Pianists;0.991;0.414;137733.0;0.0187;0.892;0.0513;-39.385;0.0557;74.477;0.195;52.0;7;1;2
37;['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock'];12 Stones;0.0802664999999999;0.3858333333333333;204280.16666666663;0.8888333333333334;2.733333333333333e-06;0.2492333333333333;-3.887;0.0693;138.69216666666668;0.4506666666666666;50.5;5;1;12
38;['acid rock', 'classic garage rock', 'experimental', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock'];13th Floor Elevators;0.104675;0.5117499999999999;155419.75;0.77175;0.387;0.1158;-6.577999999999999;0.076775;140.934;0.7645;31.75;2;0;8
42;['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat'];1910 Fruitgum Company;0.4185000000000001;0.7570000000000001;140750.0;0.6052500000000001;0.0007778499999999;0.12425;-9.72575;0.044725;128.4975;0.8995;24.25;9;1;8
43;['japanese city pop'];1986 Omega Tribe;0.3198555555555556;0.6799999999999999;274628.0;0.6121111111111109;0.0282571688888888;0.1693333333333333;-13.467888888888885;0.0319333333333333;121.79522222222224;0.8348888888888888;38.22222222222222;9;0;18
44;['florida rap'];1way Frank;0.735;0.7829999999999999;170867.0;0.38;1.58e-06;0.158;-8.507;0.0974;99.802;0.84;56.0;10;0;2
45;['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house'];2 Brothers On The 4th Floor;0.03799;0.6990000000000001;257617.5;0.9475;0.1541664999999999;0.5155000000000001;-4.6865000000000006;0.0536;131.0075;0.6895;59.5;7;0;4
46;['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];2 Chainz;0.1354928346456693;0.7493149606299208;235681.5196850393;0.6502913385826772;0.0005069162992125;0.2187850393700788;-6.1097480314960615;0.2220763779527558;130.11377165354335;0.4968204724409447;57.0236220472441;1;1;127
50;['hip house', 'latin house', 'vogue'];2 In A Room;0.0718;0.7809999999999999;244133.0;0.838;5.42e-06;0.0381;-13.943;0.0494;122.819;0.8490000000000001;29.0;2;1;2
51;['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap'];2 LIVE CREW;0.0529607619047619;0.8730952380952378;233437.4285714285;0.6603333333333337;0.0131211166666666;0.3901523809523809;-11.565857142857144;0.1860666666666666;126.41295238095238;0.6103333333333334;35.80952380952381;7;1;42
52;['dirty south rap', 'pop rap', 'southern hip hop', 'trap'];2 Pistols;0.00436;0.53;274053.0;0.745;0.0;0.345;-6.19;0.106;134.06799999999998;0.269;51.0;10;0;1
53;['bubblegum dance', 'eurodance', 'europop', 'hip house'];2 Unlimited;0.03078;0.69825;228208.0;0.92175;0.0064223499999999;0.083525;-11.52175;0.059025;130.9715;0.7685;55.75;5;0;8
55;['eurodance', 'hip house'];20 Fingers;0.0021876666666666;0.8793333333333333;235719.66666666663;0.7916666666666666;0.2565;0.0876;-9.098999999999998;0.0620333333333333;127.01466666666666;0.8216666666666667;56.33333333333334;11;0;3
56;['dirty texas rap'];20-2-Life;0.0443;0.851;403467.0;0.451;0.297;0.127;-10.707;0.267;117.847;0.25;33.0;11;1;2
57;['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap'];20/20;0.000236;0.458;257733.0;0.541;0.00183;0.0371;-12.130999999999998;0.0485;133.57299999999998;0.5770000000000001;27.0;2;1;2
58;['new age'];2002;0.905;0.229;267840.33333333326;0.155;0.8523333333333335;0.1052666666666666;-19.014333333333333;0.0355333333333333;114.312;0.0633333333333333;48.33333333333334;7;1;6
62;['atl hip hop', 'rap', 'trap'];21 Savage;0.1317249101123595;0.7817640449438202;215299.4606741573;0.5532022471910112;0.0367873035955056;0.1739955056179775;-7.367921348314602;0.2840426966292134;125.43782022471912;0.3382112359550562;67.01123595505618;1;1;89
64;['swedish hard rock', 'swedish melodic rock'];220 Volt;4.58e-05;0.8340000000000001;309747.0;0.605;0.454;0.295;-14.531;0.248;139.997;0.515;0.0;7;1;2
65;['brooklyn drill', 'nyc rap'];22Gz;0.281;0.83;190746.0;0.574;0.0;0.124;-6.892;0.701;143.892;0.5379999999999999;70.0;11;1;2
66;['bachata', 'latin', 'tropical'];24 Horas;0.206;0.8140000000000001;230267.0;0.68;0.0;0.101;-6.928;0.043;126.976;0.963;44.0;7;0;2
67;['trap', 'trap soul', 'underground hip hop', 'vapor trap'];24hrs;0.0598;0.5405;197806.5;0.74;0.0;0.12435;-5.4345;0.18005;117.9925;0.34;66.5;1;1;4
68;['cali rap'];24kGoldn;0.1445252631578947;0.7429473684210526;162868.05263157893;0.6556842105263158;0.0085391957894736;0.1466736842105263;-5.020052631578949;0.1127473684210526;120.76063157894735;0.5452526315789473;74.26315789473685;0;0;19
69;['emo rap', 'sad rap'];27CLUB;0.428;0.514;155893.0;0.7120000000000001;8.77e-06;0.112;-7.2810000000000015;0.334;76.393;0.487;68.0;2;1;2
70;['afro dancehall', 'afropop', 'azontobeats', 'highlife', 'nigerian hip hop', 'nigerian pop'];2Baba;0.0158;0.591;283000.0;0.602;0.0;0.278;-7.483;0.386;147.957;0.355;0.0;1;1;2
71;['bow pop', 'cello', 'classify'];2CELLOS;0.603;0.5865;253046.5;0.499;0.4298400000000001;0.149;-8.705000000000002;0.04035;122.251;0.6005;59.0;2;1;4
72;['kentucky hip hop'];2KBABY;0.2912;0.6224999999999999;147745.0;0.418;0.0;0.203;-9.2685;0.479;103.163;0.402;69.5;11;1;4
